Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
B11,1,0,1,0,,39,7287.20348808093,1180.03082487304,629.147591615335,91.710753579265,2236.03840832833,488.343838652773,219.055233686398,65.8370681460042,-14.7277954052656,46.0669659159892,590.232183994391,104.900822722033,6,
B11,1,1,1,0,,18,5371.80730523004,920.115933578543,1463.76902940538,124.454389273241,949.11127726237,246.705714954926,231.820737202962,49.738290164482,-56.2270516794589,42.2723699914447,963.948547363281,218.711111147357,7,
B11,0,0,0,1,,57,809.86868125514,60.0300437269761,560.062409518058,59.2419551663979,548.714509127433,48.1678469807208,217.82159778528,56.4918856386294,-705.037162379215,153.466355801153,7148.5946580318,1213.37828030685,8,
B11,1,0,0,1,,11,6997.08349609375,952.956707498693,637.543617942116,103.024370417798,569.292447176847,33.7950951139998,260.267078746449,58.7289641578333,-519.228062022816,233.759977796353,4961.89046963778,1793.02340219571,9,
B11,0,1,0,1,,10,922.548254394531,60.0702296805768,1604.57171630859,89.5166774904221,603.444396972656,44.0577486380973,239.413999938965,32.2524813039699,-319.914042663574,154.861202079382,3455.6892578125,1527.11499965033,10,
B11,1,1,0,1,,16,6045.66000366211,999.065253212044,1537.01767730713,143.328580325295,613.737899780273,58.3560213678157,251.612957954407,42.8916331712095,-220.879981517792,108.699879650111,2365.11227416992,645.845989211661,11,
B11,1,0,1,1,,63,7170.78396267361,538.314203763337,610.741185263982,108.711067942471,1898.46454826234,495.020491400529,205.770109907029,61.077259822179,-393.367696126302,123.317488120722,4056.65047200521,1021.14596271712,12,
B11,1,1,1,1,,133,6627.58421199483,998.439086782234,1598.9831093236,158.415541124536,1179.80861807228,331.718434242091,249.300059096257,54.7985952029645,-239.229416954786,111.165583868706,2583.11777674166,996.069117683435,13,
B12,0,0,0,0,0,15527,733.970908432218,60.9354753938618,610.520175829915,65.8359959103156,183.308169479847,35.5841155131567,101.613812053213,44.3067792202785,434.816219804245,112.204946455062,369.737608180854,61.1805426725937,1,
B12,1,0,0,0,0,22,6824.40784801136,460.021156979002,581.568356600675,102.860500969438,178.443672526966,33.6572734019878,112.41777714816,49.4203773732099,394.150863647461,67.2866427813533,367.707641601563,48.0844832541055,2,
B12,0,1,0,0,0,185,809.402475387986,67.8739369093959,1744.61546729835,154.253737043849,179.082135999525,36.5799511935083,102.467750985558,48.0968142924061,412.7788223679,87.4320105121801,362.390389602249,59.915000998627,3,
B12,1,1,0,0,0,1,5862.7158203125,0,1679.50512695313,0,161.473220825195,0,85.6449203491211,0,235.740356445313,0,451.439270019531,0,4,
B12,0,0,1,0,0,8,766.106491088867,66.0367603735433,677.321487426758,128.230126814792,1048.93502426147,642.553067905475,99.8789336383343,66.1679102041512,444.152935028076,150.682816286255,408.106948852539,52.2523734354764,5,
B12,1,0,1,0,0,10,6806.42880859375,562.00725925917,631.23469543457,130.485184383293,980.511944580078,218.451922054587,136.013412475586,43.2675750868234,382.696447753906,56.4615709705346,396.770620727539,58.3202678744428,6,
B12,1,1,1,0,0,1,6292.53271484375,0,1764.32775878906,0,673.811584472656,0,63.7895851135254,0,262.438232421875,0,896.733337402344,0,7,
B12,0,0,0,1,0,12,761.096791585286,75.8103626633201,542.713930765788,56.8261993891842,167.777161916097,61.418944001101,80.456362247467,54.8142267445321,4056.9626159668,1388.87191281684,742.407707214355,187.953414777858,8,
B12,0,0,1,1,0,34,765.527609432445,51.1687944497337,546.672504200655,53.4845522160686,879.667966954848,182.014486336101,100.796894634471,50.5092972790014,4621.13056497013,487.700140815657,798.458067052505,99.8718535741904,9,
B12,1,0,1,1,0,42,6747.63471912202,625.423045997796,571.545350574312,92.3550157287849,758.227863130115,167.033835776073,76.5794282243365,53.6123318520759,4254.6626906622,395.132244102739,803.349250430153,99.5380108533057,10,
B12,1,1,1,1,0,12,5629.28662109375,404.459191920034,1450.12134806315,117.408335679578,477.147499084473,79.3039022110094,63.6927563349406,63.7602092119562,3057.73150634766,538.332539074974,833.156595865885,169.993035145627,11,
B12,0,0,0,0,1,60,731.153669230143,58.773673340769,584.232766215007,53.6662369975416,140.138563855489,39.7955581468104,105.424602071444,50.9538385730617,77.4041802068551,119.238205681364,3670.7616800944,820.213715247593,12,
B12,1,0,0,0,1,15,6751.0751953125,542.627878465166,610.468334960937,73.5681951943924,135.233956654867,37.5945812446483,95.6790641784668,31.9070556586097,109.35806649526,128.775612046499,3093.38448893229,685.350764577082,13,
B12,0,1,0,0,1,15,823.779695638021,56.0987078195917,1700.47004394531,123.33238959377,151.211067962646,36.2471636130709,107.993716049194,52.8219626969158,204.780436706543,89.617985582645,2728.5314453125,546.271707626453,14,
